,solver,penalty,C value,f1 score,learning time
0,saga,l1,1e-05,0.020203170417428307,0 days 00:00:00.727080000
1,saga,l1,0.0001,0.020203170417428307,0 days 00:00:04.688250000
2,saga,l1,0.001,0.27957850269081397,0 days 00:01:09.068714000
3,saga,l1,0.01,0.8584217679253392,0 days 00:01:14.235431000
4,saga,l1,0.1,0.8992457027524947,0 days 00:01:38.566154000
5,saga,l1,1.0,0.9024186528053834,0 days 00:01:32.478987000
6,saga,l1,10.0,0.9024649651442825,0 days 00:01:19.155767000
7,saga,l1,100.0,0.9023799565149245,0 days 00:01:14.514199000
8,saga,l1,1000.0,0.9023798928569731,0 days 00:01:18.379307000
9,saga,l1,10000.0,0.9023798928569731,0 days 00:01:17.522992000
