,C value,f1 score,learning time
0,0.001,0.9222231067562319,0 days 00:01:03.476666000
1,0.01,0.9269198121950637,0 days 00:01:04.982791000
2,0.1,0.9161195408655919,0 days 00:01:02.847006000
3,1.0,0.9145204385673861,0 days 00:01:05.222647000
4,10.0,0.9145204385673861,0 days 00:01:04.200250000
5,100.0,0.9145204385673861,0 days 00:01:07.084600000
6,1000.0,0.9145204385673861,0 days 00:01:03.672085000
